"","title","author","journal","number","cites","year","cid","pubid"
"1","Reliable Decision Support with LLMs: A Framework for Evaluating Consistency in Binary Text Classification Applications","FM Megahed, YJ Chen, LA Jones-Farmer, Y Lee, JB Wang, IM Zwetsloot","arXiv Preprint arXiv:",":2505.14918",0,2025,NA,"4OULZ7Gr8RgC"
"2","Adapting OpenAI's CLIP Model for Few-Shot Image Inspection in Manufacturing Quality Control: An Expository Case Study with Multiple Application Examples","FM Megahed, Y-J Chen, BM Colosimo, MLG Grasso, LA Jones-Farmer, S Knoth, H Sun, I Zwetsloot","arXiv Preprint arXiv:",":2501.12596",2,2025,"7716002524401211563","fPk4N6BV_jEC"
"3","Editorial Advice for Selecting an Open-Source License for your Next Paper: Navigating Copyrights for Publicly Facing AI Chatbots","LA Jones-Farmer, FM Megahed, Y-J Chen, I Zwetsloot, S Knoth, DC Montgomery, G Capizzi","Journal of Quality Technology","56 (5), 468-473",0,2024,NA,"u_35RYKgDlwC"
"4","Introducing ChatSQC: Enhancing Statistical Quality Control with Augmented AI","FM Megahed, Y-J Chen, IM Zwetsloot, S Knoth, DC Montgomery, LA Jones-Farmer","Journal of Quality Technology","56 (5), 474-497",11,2024,"4544026046773475641,14817700095990035591","zA6iFVUQeVQC"
"5","Statistical Process Monitoring from Industry 2.0 to Industry 4.0: Insights into Research and Practice","BM Colosimo, LA Jones-Farmer, FM Megahed, K Paynabar, C Ranjan, WH Woodall","Technometrics","66 (4), 507-530",13,2024,"11489295116299861105","HoB7MX3m0LUC"
"6","ChatISA: A Prompt-Engineered Chatbot for Coding, Project Management, Interview and Exam Preparation Activities","FM Megahed, Y-J Chen, JA Ferris, C Resatar, K Ross, Y Lee, LA Jones-Farmer","arXiv Preprint arXiv:",":2407.15010",1,2024,"46688366460173887","rO6llkc54NcC"
"7","Shortest Path Problems with a Crash Risk Objective","Q Hu, A Mehdizadeh, A Vinel, M Cai, SE Rigdon, W Zhang, FM Megahed","Transportation Research Record","2678 (6), 284-300",0,2024,NA,"35N4QoGY0k4C"
"8","How Generative AI Models Such as ChatGPT can be (Mis) Used in SPC Practice, Education, and Research? an Exploratory Study","FM Megahed, YJ Chen, JA Ferris, S Knoth, LA Jones-Farmer","Quality Engineering","36 (2), 287-315",230,2024,"590786004275865324","J_g5lzvAfSwC"
"9","Comparing Classifier Performance with Baselines","FM Megahed, Y-J Chen, LA Jones-Farmer, SE Rigdon, M Krzywinski, N Altman","Nature Methods","21 (4)",7,2024,"9280017257360845719","SeFeTyx0c_EC"
"10","Investigating the Causal Relationships Among Information Quality Constructs in Generative AI","G Lee, A Farmer, F Megahed, R Xu","","",0,2024,NA,"3s1wT3WcHBgC"
"11","Functional ANOVA for Upper Extremity Fatigue Analysis During Dynamic Order Picking","SK Kheiri, Z Vahedi, H Sun, FM Megahed, LA Cavuoto","IISE Transactions on Occupational Ergonomics and Human Factors","11 (3-4), 123-135",3,2023,"8209691588444911142","ZHo1McVdvXMC"
